"marque","produit","pays_marche","format","classement","macro_categorie","base_reelle","actifs_principaux","dose_portion","cafeine_portion","prix_observe_2026_08_01","disponibilite_france","affiliation_ou_contact","source_officielle","statut_verification","notes","date_derniere_verification","statut_commercial_actuel","etat_source_officielle","experience_boisson","origine_cafe","nombre_portions","poids_conditionnement","cafeine_mg_min","cafeine_mg_max","niveau_cafeine","champignons_standardises","nombre_champignons","partie_champignon","methode_extraction_infusion","proteines_g","collagene_g","creatine_g","mct_g","sucres_edulcorants","allergenes_regime","preparation","prix_par_portion_observe","transparence_dosage","preuve_laboratoire","promesse_principale","priorite_seo","risque_editorial","source_secondaire","changements_2026_08_01"
"VitaCup","Mushroom Focus Coffee","États-Unis","poudre instantanée, moulu ou capsules","Café champignons et vitamines","2 — Cafés artificiellement enrichis","Arabica réel","Lion's Mane; Chaga; vitamines D3 et B","selon pods: 500 mg Lion's Mane + 250 mg Chaga; 30 portions pour le sac instantané","80–100 mg instantané; environ 110 mg pods","29,95 $ instantané ou pods; 18,95 $ moulu","non, marché US","programme public non identifié","https://www.vitacup.com/products/mushroom-coffee-instant-bag","A","Grande gamme fonctionnelle comprenant aussi créatine, collagène, minceur, MCT, probiotiques et minéraux: marque stratégique à cartographier par SKU.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café en capsule","non publiée","30","non publié","80","110","élevée (> 100 mg)","Lion's Mane; Chaga","2","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","machine compatible avec la capsule","non calculable avec les données publiques","élevée","non publiée","bien-être fonctionnel / champignons","P1 — référence structurante","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Om Mushroom Superfood","Mushroom Coffee Latte Blend","États-Unis","poudre latte","Café aux champignons","2 — Cafés artificiellement enrichis","café réel","mélange de champignons Om; autres ingrédients selon version","dose actuelle non extraite","116 mg selon page officielle historique","disponibilité et prix actuels à vérifier","non, marché US","programme public non identifié","https://ommushrooms.com/blogs/blog/mushroom-coffee-caffeine-m2","C","Source officielle datée 2021; existence commerciale actuelle du SKU à confirmer avant publication.","2026-08-01","SKU actuel non confirmé","source officielle partielle ou produit non finalisé","latte instantané","non publiée","non publié","non publié","116","116","élevée (> 100 mg)","mélange non détaillé","à confirmer","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P3 — veille / ne pas recommander encore","élevé","non publiée","Source officielle toujours historique (2021); SKU actuel non confirmé."
"Xtreme Wellness x TRIBe","Organic Mushroom Coffee","États-Unis","poudre instantanée cacao-café","Café à cinq champignons","2 — Cafés artificiellement enrichis","café instantané bio","Lion's Mane; Cordyceps; Reishi; Turkey Tail; Chaga; cacao; sel rose","3 000 mg total; 600 mg de chaque champignon; 15 portions","55 mg","prix non extrait","non, marché US","programme public non identifié","https://xtreme-brands.com/products/tribe-organic-mushroom-coffee","A","Corps fructifères double extraction; dosages très transparents.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","15","non publié","55","55","modérée (51–100 mg)","Lion's Mane; Chaga; Reishi; Cordyceps; Turkey Tail","5","corps fructifère annoncé","double extraction annoncée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"VAHDAM","Mushroom Coffee","Inde / États-Unis","poudre instantanée","Café aux champignons et adaptogènes","2 — Cafés artificiellement enrichis","Arabica instantané medium roast","KSM-66 Ashwagandha; curcuma; Chaga; Lion's Mane; poivre noir","mélange propriétaire 2,5 g; doses individuelles non publiées","75 mg","prix et disponibilité actuels non extraits","non, principalement marché US/Inde","programme public non identifié","https://www.vahdam.com/products/mushroom-coffee","B","Étiquette officielle repérée dans un dossier réglementaire FDA; page commerciale à vérifier.","2026-08-01","page officielle observée; vente à reconfirmer","accès automatisé limité; contrôle manuel recommandé","café instantané","non publiée","non publié","non publié","75","75","modérée (51–100 mg)","Lion's Mane; Chaga","2","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","document technique officiel disponible","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"NUUBREW","The Hustle Blend","Royaume-Uni / Espagne / Irlande","poudre instantanée","Café tout-en-un: champignons, plantes et nootropiques","2 — Cafés artificiellement enrichis","Robusta réel","Lion's Mane; Chaga; Cordyceps; Reishi; L-théanine; Ashwagandha; Bacopa; Panax ginseng; Ginkgo","par 8 g: 1 000 mg Lion's Mane; 1 000 mg Chaga; 1 000 mg Cordyceps; 300 mg Reishi; 240 mg L-théanine; 400 mg Ashwagandha; 300 mg Bacopa; 250 mg ginseng; 250 mg Ginkgo","120 mg","29,95 £ / 30 portions; épuisé lors du relevé","expédition France à confirmer; vente UK, Irlande et Espagne affichée","contact@nuubrew.com; programme public non identifié","https://www.nuubrew.com/products/the-hustler-blend","A","Formule parmi les plus transparentes du marché; café 100 % Robusta et ingrédients annoncés bio.","2026-08-01","épuisé lors du relevé","source officielle accessible et revérifiée","café instantané","non publiée","30","non publié","120","120","élevée (> 100 mg)","Lion's Mane; Chaga; Reishi; Cordyceps","4","non publiée","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","1.00 £ / portion","élevée","non publiée","focus / cognition","P3 — veille / ne pas recommander encore","faible à moyen","non publiée","Toujours indiqué épuisé lors de la revérification."
"PULS","Original Latte","Royaume-Uni","sticks instantanés","Café protéiné, créatine et MCT","2 — Cafés artificiellement enrichis","café Arabica avec whey","whey; créatine monohydrate; MCT de noix de coco","10 g protéines; 5 g créatine; 5 g MCT par portion","100 mg","à partir de 1,19 £/portion; produit indiqué Coming Soon","non; pré-lancement UK","programme public non identifié","https://www.drinkpuls.com/","C","Concept stratégique rare associant café réel, protéines, créatine et MCT; ne pas présenter comme disponible tant que le lancement n'est pas confirmé.","2026-08-01","pré-lancement / accès anticipé","source officielle partielle ou produit non finalisé","café instantané","non publiée","non publié","non publié","100","100","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","10 g","non publié","5 g","5 g","non publié","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","1.19 £ / portion","élevée","non publiée","nutrition / apport protéique","P3 — veille / ne pas recommander encore","élevé","non publiée","Pré-lancement / Coming Soon toujours observé."
"Eight","Batch 001","Inde","grains ou café moulu selon lancement","Café nootropique minimaliste","2 — Cafés artificiellement enrichis","Arabica et Robusta réels","L-théanine","ratio caféine/L-théanine annoncé comme étudié mais quantités non publiées","non publiée","réservation gratuite; prix de vente non publié","non; pré-lancement Inde","liste d'attente uniquement","https://idrinkeight.com/","C","Projet bêta annoncé pour 2026; suivre le lancement effectif et l'étiquette finale.","2026-08-01","pré-lancement / accès anticipé","source officielle partielle ou produit non finalisé","café à préparer (goût café)","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","moudre puis préparer comme un café classique","non calculable avec les données publiques","faible","non publiée","focus / cognition","P3 — veille / ne pas recommander encore","élevé","non publiée","Projet bêta / pré-lancement, sans prix ni étiquette finale."
"TruBrain","Coffee Kit","États-Unis","grains entiers + sticks nootropiques séparés","Café nootropique modulable","2 — Cafés artificiellement enrichis","café single-origin en grains","L-théanine; citicoline selon la fiche kit","doses non publiées","non publiée","69 $ kit; 35 $ café seul; 49 $ les 20 sticks","non, marché US","programme public non identifié","https://www.trubrain.com/products/coffee","B","Le site mentionne aussi Alpha-GPC dans un autre passage: actif cholinergique à confirmer avant publication.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café à préparer (goût café)","non publiée","20","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","moudre puis préparer comme un café classique","non calculable avec les données publiques","faible","non publiée","focus / cognition","P2 — à compléter avant fiche longue","moyen à élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"Crushed Tonic","Coffee Collagen","États-Unis","sticks instantanés ou poche 30 boissons","Café au collagène","2 — Cafés artificiellement enrichis","Arabica colombien instantané single-origin","collagène bovin ou marin","5 g collagène par portion","50 mg sur la fiche principale; environ 55 mg dans un autre passage","25 $ achat ponctuel; remise abonnement 10 %","non, marché US","partnerships@crushedtonic.com","https://crushedtonic.com/products/coffeecollagen","A","Sans sucre; 28 sticks ou poche annoncée pour 30 boissons. Petite divergence de caféine à signaler.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","prêt à boire","Colombie","non publié","non publié","50","55","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","non publié","5 g","non publié","non publié","sans sucre annoncé","non végétalien (bovin)","prêt à consommer","non calculable avec les données publiques","partielle","non publiée","beauté / collagène","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Smart Owl Coffee","Cognition Blend","États-Unis","café moulu dark roast","Café nootropique","2 — Cafés artificiellement enrichis","café réel","L-théanine","7 000 mg par sac de 12 oz; environ 24 portions annoncées; dose exacte par portion non étiquetée","non publiée","19,49 $ / 12 oz","non, marché US","programme public non identifié","https://smartowlcoffee.com/collections/all-products/products/smart-owl-coffee-cognition-blend","B","Environ 292 mg par portion par simple division, mais cette valeur ne doit pas être attribuée au fabricant. Gammes Balance et Immune à cartographier séparément.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café à préparer (goût café)","non publiée","24","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","filtre, cafetière ou espresso selon mouture","non calculable avec les données publiques","partielle","non publiée","focus / cognition","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Herbalife","High Protein Iced Coffee","International / Europe","poudre instantanée","Café protéiné","2 — Cafés artificiellement enrichis","café Robusta espresso","protéines de lactosérum","15 g protéines; portion 22 g; 14 portions par sachet","80 mg","prix variable selon pays et distributeur","oui, selon réseau de vente directe local","réseau de distributeurs Herbalife; affiliation éditoriale non identifiée","https://www.herbalife.com/assets/regional-reusable-assets/workflow/fusion/pdp/product-label-pdf/en-gb/pl-pdf-gb-012k.pdf","A","80 kcal et sans sucres ajoutés selon l'étiquette officielle; allergène lait.","2026-08-01","actif — page officielle observée","document officiel PDF accessible","café instantané","non publiée","14","non publié","80","80","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","15 g","non publié","non publié","non publié","sans sucre annoncé","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","élevée","document technique officiel disponible","nutrition / apport protéique","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Dr. Oetker","High Protein Coffee Drink Espresso Macchiato Style","Allemagne","boisson prête à boire 250 ml","Café protéiné prêt à boire","2 — Cafés artificiellement enrichis","extrait de café Arabica dans boisson lactée","protéines laitières","20 g protéines par bouteille","137 mg par bouteille","prix détaillant non extrait","Allemagne; disponibilité France à confirmer","programme public non identifié","https://www.oetker.de/produkte/p/high-protein-coffee-drink-espresso-macchiato-style","A","Sans sucres ajoutés et pauvre en matières grasses selon la fiche officielle; allergène lait.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","prêt à boire","non publiée","non publié","non publié","137","137","élevée (> 100 mg)","non applicable","0","non applicable","non applicable","20 g","non publié","non publié","non publié","sans sucre annoncé","contient lait","prêt à consommer","non calculable avec les données publiques","partielle","non publiée","nutrition / apport protéique","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Kimera Koffee","Original Blend","États-Unis","café moulu medium roast 12 oz","Café nootropique","2 — Cafés artificiellement enrichis","café bio Pérou et Colombie 50/50","Alpha-GPC; L-théanine; taurine; DMAE","doses des nootropiques non publiées","variable selon préparation; fiche donne seulement des fourchettes génériques","24,95 $ achat ponctuel; 22,46 $ abonnement","expédition internationale non confirmée","logistics@kimerakoffee.com pour distribution; sponsoring sur contact","https://kimerakoffee.com/collections/coffee/products/kimera-koffee-12oz-ground","B","Marque active depuis 2013 selon sa fiche; véritable café enrichi, mais transparence quantitative insuffisante.","2026-08-01","page officielle observée; vente à reconfirmer","accès automatisé limité; contrôle manuel recommandé","café à préparer (goût café)","Colombie","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","filtre, cafetière ou espresso selon mouture","non calculable avec les données publiques","faible","non publiée","focus / cognition","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"NeuRoast","Classic Roast","États-Unis / Canada","café moulu medium-dark roast","Café à cinq champignons","2 — Cafés artificiellement enrichis","café colombien réel","Lion's Mane; Cordyceps; Chaga; Reishi; Turkey Tail; cannelle","dose des extraits non publiée; portion 2 cuillères à soupe","environ 100 mg / 8 oz","74,98 $ pour format foodservice 5 lb; format particulier à relever","non; États-Unis, Amazon US/Canada et détaillants indépendants","info@neuroast.com; programme public non identifié","https://www.neuroast.com/products/foodservice","A","Sans sucre et vegan selon la FAQ; mélange en poudre ajouté au café moulu.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café à préparer (goût café)","Colombie","non publié","non publié","100","100","modérée (51–100 mg)","Lion's Mane; Chaga; Reishi; Cordyceps; Turkey Tail","5","non publiée","non publiée","non publié","non publié","non publié","non publié","sans sucre annoncé","vegan annoncé","filtre, cafetière ou espresso selon mouture","non calculable avec les données publiques","faible","non publiée","bien-être fonctionnel / champignons","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"CREOFFEE","Original","Australie","poudre instantanée","Café à la créatine","2 — Cafés artificiellement enrichis","café instantané","créatine monohydrate","5 g de créatine par portion; taille de portion non publiée","non publiée","moins de 1,40 AUD par portion annoncé","non, marché Australie","contact direct via site","https://creoffee.com/","A","Formule courte: café instantané et créatine monohydrate; sans sucre, agents de charge ni additifs annoncés.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","5 g","non publié","sans sucre ni additifs annoncés","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","< 1,40 AUD / portion","partielle","non publiée","performance / créatine","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"CreatineCoffeee","CreatineCoffee","États-Unis","poudre instantanée","Café à la créatine","2 — Cafés artificiellement enrichis","café colombien bio instantané medium roast","créatine monohydrate micronisée","12 g; 5 g de créatine; 30 ou 90 portions","non publiée","119 $ / 90 jours; 2,61 à 2,97 $ par café selon format","expédition internationale à confirmer","contact direct via site","https://creatine-coffee.com/products/creatinecoffee-the-coffee-upgrade-for-mind-muscle-90-day-supply","B","Formule détaillée mais allégations santé et longévité très fortes: forte prudence éditoriale.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","Colombie","30 ou 90","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","5 g","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","2,61–2,97 $ / portion","élevée","non publiée","performance / créatine","P2 — à compléter avant fiche longue","élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"Day One Functional Coffees","Creatine Coffee K-Cup","États-Unis","capsules K-Cup","Café à la créatine","2 — Cafés artificiellement enrichis","café en capsule","créatine HCl","3 g de créatine HCl par capsule","non publiée","prix non publié","non; accès anticipé États-Unis","liste d'attente","https://dayonecoffees.com/","C","Pré-lancement; compatibilité Keurig annoncée; formule finale et disponibilité à confirmer.","2026-08-01","pré-lancement / accès anticipé","source officielle partielle ou produit non finalisé","café en capsule","non publiée","1 capsule = 1 portion","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","3 g","non publié","non publié","allergènes/régime non publiés","machine compatible avec la capsule","non calculable avec les données publiques","partielle","non publiée","performance / créatine","P3 — veille / ne pas recommander encore","élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"Bulletproof","Coffee + Creatine","États-Unis","poudre instantanée","Café à la créatine","2 — Cafés artificiellement enrichis","café instantané medium roast","créatine monohydrate; 250 mg d'électrolytes","5 g de créatine; sachet 13,8 oz","non publiée","33,99 $","non, États-Unis; Target et boutique officielle","programme d'affiliation Bulletproof à rechercher","https://shop.bulletproof.com/products/creatine-coffee","A","Référence lancée en mars 2026; café Arabica instantané annoncé testé pour les toxines; indiquée en stock lors du relevé.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","13,8 oz","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","5 g","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","performance / créatine","P1 — référence structurante","faible à moyen","https://www.prnewswire.com/news-releases/bulletproof-introduces-coffee--creatine-a-first-of-its-kind-functional-coffee-innovation-302696454.html","aucun changement majeur identifié lors de la revérification"
"Four Sigmatic","The Boys™ Creatine Coffee","États-Unis","café moulu","Café créatine et Lion's Mane","2 — Cafés artificiellement enrichis","Arabica du Honduras","créatine monohydrate; Lion's Mane","5 g de créatine; 13 portions par paquet; 26 portions pour 2 paquets","150 mg","40 $ / 26 portions; 28 $ première commande abonnement","non, offre limitée États-Unis","programme d'affiliation Four Sigmatic à rechercher","https://us.foursigmatic.com/products/prime-original-the-boys-creatine-coffee","A","Lion's Mane annoncé issu du corps fructifère; édition limitée 2026.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café à préparer (goût café)","Honduras","26","non publié","150","150","élevée (> 100 mg)","Lion's Mane","1","corps fructifère annoncé","non publiée","non publié","non publié","5 g","non publié","non publié","allergènes/régime non publiés","filtre, cafetière ou espresso selon mouture","1,53 $ / portion","élevée","non publiée","performance / créatine","P1 — référence structurante","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"VitaCup","Creatine Coffee","États-Unis","poudre instantanée","Café créatine et vitamines","2 — Cafés artificiellement enrichis","café instantané","créatine monohydrate; vitamines fonctionnelles","5 g de créatine par portion","non publiée","prix non extrait","non; lancement Sprouts États-Unis en avril 2026","programme d'affiliation VitaCup à rechercher","https://www.vitacup.com/products/creatine-coffee-instant-pouch","B","Produit officiellement annoncé en 2026; page commerciale inaccessible à l'outil lors du relevé.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","5 g","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","performance / créatine","P1 — référence structurante","moyen","https://www.prnewswire.com/news-releases/vitacup-launches-first-of-its-kind-creatine-coffee-stick-packs-at-sprouts-farmers-market-in-stores-now-302732090.html","aucun changement majeur identifié lors de la revérification"
"MARESHI","DRIVE","Royaume-Uni","poudre instantanée","Café créatine, collagène et champignons","2 — Cafés artificiellement enrichis","café Robusta de spécialité instantané","créatine monohydrate; collagène bovin; Lion's Mane","5 g créatine; 5 g collagène; 500 mg Lion's Mane","non publiée","prix non extrait","expédition France à confirmer","contact direct via site","https://www.mareshi.co.uk/","A","Préparation annoncée avec 250 ml d'eau chaude; formule sportive tout-en-un.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","Lion's Mane","1","non publiée","non publiée","non publié","5 g","5 g","non publié","non publié","non végétalien (bovin)","diluer dans 250 ml d'eau chaude","non calculable avec les données publiques","élevée","non publiée","beauté / collagène","P2 — comparatif secondaire","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Urth&Root","Creatine Coffee","International / États-Unis","café moulu ou poudre selon page","Café à la créatine","2 — Cafés artificiellement enrichis","Arabica vietnamien annoncé","créatine tamponnée CreHytine / autres technologies citées","3 g de créatine annoncés","non publiée","prix non extrait","France présente dans le sélecteur pays; livraison à confirmer","contact direct via site","https://urthandroot.com/","C","Page incohérente sur la technologie de créatine et l'identité produit; ne pas recommander sans clarification fabricant.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle partielle ou produit non finalisé","café à préparer (goût café)","Vietnam","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","3 g","non publié","non publié","allergènes/régime non publiés","filtre, cafetière ou espresso selon mouture","non calculable avec les données publiques","partielle","non publiée","performance / créatine","P3 — veille / ne pas recommander encore","élevé","non publiée","aucun changement majeur identifié lors de la revérification"
"Smart Coffee EU","Functional Coffee","Union européenne","poudre instantanée","Café collagène tout-en-un","2 — Cafés artificiellement enrichis","café instantané","collagène Peptan; MCT C8/C10; magnésium; vitamines B; L-théanine; L-carnitine; taurine; gingembre; chrome; adaptogènes","3,5 g de collagène; 25 portions; plus de 17 ingrédients","environ 80 mg","environ 1,50 à 1,52 € par portion","oui, boutique UE","contact direct via site","https://smartcoffeeeu.com/","A","Sans lactose ni gluten, compatible keto et édulcoré à la stévia; tests par lots annoncés.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","non publiée","25","non publié","80","80","modérée (51–100 mg)","non applicable","0","non applicable","non applicable","non publié","3,5 g","non publié","non publié","stévia","sans lactose; sans gluten; keto annoncés","diluer dans de l'eau ou du lait; température selon fabricant","1,50–1,52 € / portion","partielle","tests tiers par lot annoncés; rapport à archiver","beauté / collagène","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Bulk","Whey Protein Coffee","France / Europe","poudre instantanée","Café protéiné","2 — Cafés artificiellement enrichis","café instantané brésilien et whey","whey concentrée; lait écrémé","17 g de protéines par portion; formats 500 g et 1 kg","non publiée","29,99 € prix régulier observé; prix France à actualiser","oui, boutique France","programme d'affiliation Bulk à rechercher","https://www.bulk.com/fr/products/cafe-proteine-whey/bpb-pico","A","Contient lait, sucralose, lécithine de tournesol, gomme guar et xanthane.","2026-08-01","actif — page officielle observée","source officielle accessible et revérifiée","café instantané","Brésil","non publié","500 g ou 1 kg","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","17 g","non publié","non publié","non publié","sucralose","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","partielle","non publiée","nutrition / apport protéique","P1 — fiche prioritaire France","faible à moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Clearly","Protein Iced Coffee","Pays-Bas / Europe","poudre pour café glacé","Café protéiné","2 — Cafés artificiellement enrichis","Arabica colombien et whey néo-zélandaise","whey de vaches nourries à l'herbe","dose de protéines non extraite","non publiée","prix non extrait","oui, livraison 2–4 jours annoncée","programme public non identifié","https://clearly.fr/products/protein-coffee","B","Véritable base café; fiche nutritionnelle complète à relever avant comparaison chiffrée.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","à confirmer","Colombie","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","nutrition / apport protéique","P1 — fiche prioritaire France","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"ProtéAlpes","Whey Café sans sucres ajoutés","France","poudre protéinée goût café","Café protéiné","2 — Cafés artificiellement enrichis","whey isolate et café instantané décaféiné","whey isolate 92 %; café instantané décaféiné 6 %; farine de coco","portion et protéines par portion à relever sur l'étiquette","non publiée; café décaféiné","prix non extrait","oui","contact direct via site","https://protealpes.com/produit/whey-cafe-sans-sucres-ajoutes/","B","Fabriqué en France; contient du lait; sans sucres ajoutés.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","à confirmer","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","sans sucres ajoutés annoncé","contient lait","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","nutrition / apport protéique","P1 — fiche prioritaire France","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Collagen Coffee","Original Collagen Coffee","États-Unis / international","poudre instantanée","Café au collagène","2 — Cafés artificiellement enrichis","café instantané","peptides de collagène hydrolysés","dose non publiée; six saveurs annoncées","non publiée","prix non extrait","expédition internationale à confirmer","contact direct via site","https://collagencoffee.com/","B","Page officielle active mais détails nutritionnels insuffisants pour une comparaison ferme.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café instantané","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","non applicable","0","non applicable","non applicable","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","diluer dans de l'eau ou du lait; température selon fabricant","non calculable avec les données publiques","faible","non publiée","beauté / collagène","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Zenergy Mushrooms","Mushroom Coffee","Europe","café à préparer, format à confirmer","Café multi-champignons","2 — Cafés artificiellement enrichis","café réel","champignons fonctionnels double extraits","1 g de chaque champignon par portion annoncé; liste exacte à confirmer","non publiée","prix non extrait","expédition UE à confirmer","contact direct via site","https://zenergymushrooms.com/","B","Corps fructifères, culture sur bois, bio UE et au moins 10 % de bêta-glucanes annoncés.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","à confirmer","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","mélange non détaillé","à confirmer","corps fructifère annoncé","double extraction annoncée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","à confirmer","non calculable avec les données publiques","partielle","standardisation ≥ 10 % bêta-glucanes annoncée; rapport à archiver","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
"Lyfe Mushrooms","Mushroom Coffee","États-Unis","café moulu et capsules K-Cup","Café à sept champignons","2 — Cafés artificiellement enrichis","Arabica single-origin","sept extraits de corps fructifères cultivés aux États-Unis","doses non publiées","non publiée","prix non extrait","non, marché États-Unis","contact direct via site","https://lyfemushrooms.com/","B","Rapport de laboratoire par lot 2026.05 mentionné; liste et doses à archiver.","2026-08-01","page officielle observée; vente à reconfirmer","source officielle accessible et revérifiée","café en capsule","non publiée","non publié","non publié","à confirmer","à confirmer","non documenté","mélange non détaillé","7","corps fructifère annoncé","non publiée","non publié","non publié","non publié","non publié","non publié","allergènes/régime non publiés","machine compatible avec la capsule","non calculable avec les données publiques","faible","rapport de laboratoire par lot annoncé; à archiver","bien-être fonctionnel / champignons","P2 — à compléter avant fiche longue","moyen","non publiée","aucun changement majeur identifié lors de la revérification"
